"hole_id","sub_area_id","hole_type_id","hole_design_id","equipment_id","name","depth","time_start","time_end","drilling_time","collar_elevation","heading","mast_angle","start_h_accuracy","start_v_accuracy","end_h_accuracy","end_v_accuracy","validity","start_position","end_position","hole_profile_id","hole_id","time_start","time_end","start_depth","end_depth","frequency","force_on_bit","torque","rop","air_pressure","vibration","blastability","rock_type_id","work_reason_id"
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",330,100,"2010-06-20 22:06:56","2010-06-20 22:07:03",1.1,1.2,0,689.604,1.9,0.0155,643500,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",331,100,"2010-06-20 22:07:03","2010-06-20 22:07:09",1.2,1.3,0,685.19098,1.9,0.0124,632100,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",332,100,"2010-06-20 22:07:09","2010-06-20 22:07:16",1.3,1.4,0,694.409,2.0999999,0.0146,631300,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",333,100,"2010-06-20 22:07:16","2010-06-20 22:07:22",1.4,1.5,0,700.58698,2.3,0.018300001,634900,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",334,100,"2010-06-20 22:07:22","2010-06-20 22:07:26",1.5,1.6,0,698.13501,2.4000001,0.0218,630900,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",335,100,"2010-06-20 22:07:26","2010-06-20 22:07:31",1.6,1.7,0,697.44897,2.3,0.0195,632800,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",336,100,"2010-06-20 22:07:31","2010-06-20 22:07:37",1.7,1.8,0,698.42999,2.4000001,0.029999999,987800,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",337,100,"2010-06-20 22:07:37","2010-06-20 22:07:42",1.8,1.9,0,696.86102,2.2,0.0184,1279800,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",338,100,"2010-06-20 22:07:42","2010-06-20 22:07:46",1.9,2,0,694.703,2.2,0.0218,1416700,0,0,100,100
100,100,2,1,"9479eb3f-84be-56c2-ac5d-c3390d7bab9b","220",13.66,"2010-06-20 22:05:17","2010-06-20 22:20:44",0,728.10999,4.0229802,0,0.029999999,0.039999999,0.039999999,0.039999999,"valid","010100008048E17A14EE4AC64052B81E856BAEB4407B14AE47E1C08640","01010000803D0AD7A3F04AC6403D0AD7A370AEB4401F85EB51B8528640",339,100,"2010-06-20 22:07:46","2010-06-20 22:07:50",2,2.0999999,0,696.27197,2.3,0.0208,1476300,0,0,100,100
